"id","latitude","longitude","time","type_crime"
3914,37.8802,-122.268,1458288000,"BURGLARY COMMERCIAL"
3915,37.8718,-122.271,1458556440,"BURGLARY COMMERCIAL"
3916,37.8729,-122.305,1458946800,"BURGLARY COMMERCIAL"
3917,37.8802,-122.307,1459027800,"BURGLARY COMMERCIAL"
3918,37.8729,-122.305,1459042200,"BURGLARY COMMERCIAL"
3919,37.8729,-122.305,1459090800,"BURGLARY COMMERCIAL"
3920,37.8729,-122.305,1459116000,"BURGLARY COMMERCIAL"
3921,37.8638,-122.267,1459185300,"BURGLARY COMMERCIAL"
3922,37.8802,-122.307,1459517700,"BURGLARY COMMERCIAL"
3923,37.8729,-122.305,1459537200,"BURGLARY COMMERCIAL"
3924,37.8699,-122.301,1459730280,"BURGLARY COMMERCIAL"
3925,37.8802,-122.307,1459839600,"BURGLARY COMMERCIAL"
3926,37.8802,-122.307,1459962000,"BURGLARY COMMERCIAL"
3927,37.8634,-122.297,1460161200,"BURGLARY COMMERCIAL"
3928,37.8729,-122.305,1460232000,"BURGLARY COMMERCIAL"
3929,37.8748,-122.296,1460563200,"BURGLARY COMMERCIAL"
3930,37.8491,-122.276,1460619840,"BURGLARY COMMERCIAL"
3931,37.8729,-122.305,1460731020,"BURGLARY COMMERCIAL"
3932,37.8912,-122.282,1460806200,"BURGLARY COMMERCIAL"
3933,37.8634,-122.297,1460867340,"BURGLARY COMMERCIAL"
3934,37.866,-122.301,1461037500,"BURGLARY COMMERCIAL"
3935,37.8729,-122.305,1461295980,"BURGLARY COMMERCIAL"
3936,37.8699,-122.301,1461765600,"BURGLARY COMMERCIAL"
